bad
big
but
cat
cow
did
fat
for
has
his
law
lay
low
new
not
oil
old
our
red
sad
she
sir
toy
war
yes
yet
you
also
best
bird
blue
book
both
done
door
duck
easy
fact
flag
flat
from
goat
good
high
hole
hope
idea
inch
joke
king
lamp
lazy
life
long
luck
male
mine
more
most
much
must
nice
note
odor
only
ours
part
poor
rock
rope
rule
same
slow
some
tail
tall
tape
test
than
that
them
then
they
thin
this
tiny
told
tree
ugly
very
wall
weak
well
wide
with
your
